"Not a Smartlook user yet?", "Ešte nie ste užívateľom Smartlook?"
"Hide", "Skryť"
"Show", "Zobraziť"
"Settings", "Nastavenie"
"Yes", "Áno"
"No", "Nie"
"Enabled", "Povolené"
"Enable recording on website.", "Povoliť nahrávanie na webe."
"Smartlook code", "Smartlook kód"
"Smartlook code assigned to your account.","Smartlook kód priradený k vašemu účtu."
"Customer info", "Zákaznícke info"
"Show info about your customers (name, email, etc.) in Smartlook dashboard, where your agents can see it. You will find customer info in the right panel while recording.", "Zobrazte si info o vašich zákazníkoch (meno, email, atď.) v Smartlook dashboarde, kde ho uvidia vaši operátori. Zákaznícke info nájdete v pravom paneli, keď nahrávate."
"Name", "Meno a priezvisko"
"Shows customer's display name.", "Zobraziť meno a priezvisko zákazníka."
"Email", "Email"
"Shows customer's email.", "Zobraziť email zákazníka."